name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Austin, TX USA",2024-05-20,92.8,69,81.5,98,69,83.9,68.6,67.4,0,0,0,rain,0,0,24.2,12,159.8,1009,23.9,9.5,279.6,24.1,9,30,2024-05-20T06:33:58,2024-05-20T20:21:35,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-05-21,93.7,76.5,83.9,103.3,76.5,88.6,73.1,71.8,0,0,0,rain,0,0,27.3,13.6,163.1,1007.4,64.6,7.6,221,19.2,8,100,2024-05-21T06:33:29,2024-05-21T20:22:12,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-05-22,93.5,78.7,84.3,102.4,78.7,89.6,73.9,72.4,0,0,0,rain,0,0,25.9,14.5,149.4,1008,80.4,7.5,180.7,15.7,7,100,2024-05-22T06:33:02,2024-05-22T20:22:49,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-05-23,92.2,77.7,83.4,100.8,77.7,88,73.6,73.4,0,0,0,rain,0,0,29.2,15.8,144.1,1007.8,69.6,9,157.3,13.5,7,75,2024-05-23T06:32:36,2024-05-23T20:23:25,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-05-24,93.4,77,84.8,107.2,77,91.4,74.8,73.2,0,0,0,rain,0,0,28.2,11,168.2,1006,80,7.7,167.3,14.4,8,100,2024-05-24T06:32:11,2024-05-24T20:24:01,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-05-25,98.2,78.5,86.5,109.4,78.5,92.4,73.6,67.8,0,0,0,rain,0,0,30.4,16.5,151.4,1006.4,45.9,7.6,250.8,21.7,8,100,2024-05-25T06:31:47,2024-05-25T20:24:37,0.58,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-05-26,95.2,78.2,84.7,107.4,78.2,90.8,74.6,72.9,0,0,0,rain,0,0,25.5,10.8,168.4,1006.3,62,7.3,157.3,13.7,8,100,2024-05-26T06:31:25,2024-05-26T20:25:12,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-05-27,97.8,79.1,86.8,109.9,79.1,95,76.1,72.3,0,0,0,rain,0,0,20.8,9.7,141.8,1010.1,53.5,5.8,244.8,21.1,9,100,2024-05-27T06:31:05,2024-05-27T20:25:46,0.65,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-05-28,85.9,79.2,82.6,99,79.2,86.2,69.8,67.5,0,0,0,rain,0,0,37.6,15.8,107.9,1014.5,54.7,7.4,217.2,18.7,9,100,2024-05-28T06:30:45,2024-05-28T20:26:20,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-05-29,91.1,70,80.4,94.4,70,82.4,68.1,68.2,0.359,100,12.5,rain,0,0,44,10.3,68.3,1015.3,38.1,9.7,224.9,19.6,8,75,2024-05-29T06:30:28,2024-05-29T20:26:54,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-05-30,92,76.6,83.5,99.9,76.6,88,73.1,72.2,0.004,100,8.33,rain,0,0,25.1,12,140.6,1011.8,77.8,9.5,172.2,14.8,7,100,2024-05-30T06:30:11,2024-05-30T20:27:27,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-05-31,90.3,65.1,77.9,95.7,65.1,80.1,69,75.9,1.306,100,29.17,rain,0,0,39.1,17,132.5,1011.7,62.5,9.6,211.5,18.5,9,60,2024-05-31T06:29:56,2024-05-31T20:27:59,0.79,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-06-01,90.9,73,81.8,100.8,73,86.4,72.1,73.5,0,0,0,rain,0,0,23,7.6,118.9,1012.5,48.1,9.7,185.4,15.9,7,100,2024-06-01T06:29:43,2024-06-01T20:28:30,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-06-02,92.1,77.8,84.3,103.1,77.8,89.7,74.2,73.1,0,0,0,rain,0,0,31.8,14.7,144.3,1010.3,64.2,9.3,151.2,12.9,7,100,2024-06-02T06:29:31,2024-06-02T20:29:01,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-06-03,92.9,79.9,85.1,105.1,79.9,92.1,75,72.8,0,0,0,rain,0,0,28.2,16.7,164.2,1006.3,85.3,9.1,223.3,19.2,9,100,2024-06-03T06:29:20,2024-06-03T20:29:32,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-06-04,97,80.9,87,112,87,97.5,76.4,72,0,0,0,rain,0,0,32.2,15.7,166.1,1003.5,61.5,7.9,258.8,22.5,10,100,2024-06-04T06:29:11,2024-06-04T20:30:01,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-06-05,89.8,70.3,82.1,95.3,70.3,87,72.2,73.4,0.004,100,8.33,rain,0,0,37.9,15.4,145,1006.8,57.9,8.8,222.8,19.2,9,100,2024-06-05T06:29:03,2024-06-05T20:30:30,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418,E5093"
"Austin, TX USA",2024-06-06,96.7,70.7,84,105.4,70.7,87.6,70.2,66.3,0,0,0,,0,0,16.6,7.9,79,1010.1,6.1,9.8,266.5,22.9,8,60,2024-06-06T06:28:57,2024-06-06T20:30:58,0,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-06-07,96.1,70.6,84.2,101.9,70.6,87.9,69.7,64.3,0,0,0,,0,0,19.7,9.6,137.5,1012,2.8,9.9,281,24.4,9,60,2024-06-07T06:28:52,2024-06-07T20:31:25,0.04,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-06-08,95.7,73.9,84.9,102.5,73.9,88.6,70.1,63.4,0,0,0,,0,0,21.9,15.4,160.6,1011.2,7.6,9.9,287.9,25.1,9,30,2024-06-08T06:28:48,2024-06-08T20:31:51,0.07,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-06-09,95.7,73,84.5,100.8,73,87.3,70.1,65.2,0,0,0,rain,0,0,21.7,10.3,144.5,1009.8,32.9,9.6,268,23.3,10,30,2024-06-09T06:28:46,2024-06-09T20:32:16,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-06-10,94.6,77.6,84.6,98.9,77.6,88.1,71.6,67.4,0.005,100,8.33,rain,0,0,17.2,6.8,136.7,1009.5,53.5,9.8,243,21.3,9,30,2024-06-10T06:28:45,2024-06-10T20:32:41,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-06-11,93,74.3,79.8,99.3,74.3,81.6,71.2,76.5,0.167,100,16.67,rain,0,0,33.3,15.9,26.6,1010.9,45.9,9.4,215.9,18.8,9,30,2024-06-11T06:28:45,2024-06-11T20:33:04,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-06-12,90.7,74,80.7,98.2,74,83.9,72.5,77.3,0.006,100,4.17,rain,0,0,18.3,7.9,42.5,1012.7,70.5,9.8,186.5,16.2,8,30,2024-06-12T06:28:47,2024-06-12T20:33:26,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-06-13,96,75.9,84.8,102.5,75.9,88.9,71.9,67.7,0,0,0,rain,0,0,14.1,7.8,74.5,1012.3,37.7,9.8,251,21.7,10,30,2024-06-13T06:28:50,2024-06-13T20:33:48,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-06-14,95.7,76.9,86,98.9,76.9,88.9,69.9,61.8,0,0,0,rain,0,0,16.3,8.9,101.3,1012.5,26.7,9.8,215.2,18.4,8,30,2024-06-14T06:28:55,2024-06-14T20:34:08,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-06-15,96.4,74.7,85.5,99.7,74.7,89,70.2,62.9,0,0,0,rain,0,0,26.4,12.1,143.9,1011.3,41.2,9.7,250,21.5,8,30,2024-06-15T06:29:01,2024-06-15T20:34:27,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-06-16,96.8,75.9,86.2,101.3,75.9,90.1,71,63.4,0,0,0,,0,0,25.3,15.7,144.2,1009.5,40,9.8,249.4,21.5,9,60,2024-06-16T06:29:08,2024-06-16T20:34:45,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-06-17,96.6,78.4,85.7,104.8,78.4,91.2,73.1,67.9,0,0,0,rain,0,0,31,16.1,142.4,1008.3,63.3,9.7,269.8,23.4,10,60,2024-06-17T06:29:16,2024-06-17T20:35:02,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-06-18,94.5,74,83.3,98.4,74,86,70,66.5,0,0,0,rain,0,0,27.5,13.2,127.7,1009.3,50,9.8,232.2,20.1,10,10,2024-06-18T06:29:26,2024-06-18T20:35:18,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-06-19,81.9,74,76.8,86.8,74,77.3,71.3,83.5,1.166,100,45.83,rain,0,0,30.6,14.5,41.5,1013.7,84.9,7.8,58.1,5.1,4,10,2024-06-19T06:29:37,2024-06-19T20:35:33,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-06-20,89.7,74.8,80.3,98.8,74.8,83.2,73.9,82.1,0.326,100,37.5,rain,0,0,29.3,15.2,56.4,1017.2,79.9,8.7,124.9,10.8,6,30,2024-06-20T06:29:49,2024-06-20T20:35:46,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-06-21,91.8,73.5,82.7,98.5,73.5,86.2,72.5,73.5,0,0,0,rain,0,0,20.1,8.7,91.6,1018.2,51.4,9.7,189.7,16.5,9,30,2024-06-21T06:30:02,2024-06-21T20:35:58,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-06-22,93.5,74.2,83.7,98.7,74.2,87.1,71.4,69.2,0,0,0,rain,0,0,16.1,7.1,124.4,1016.3,37.4,9.7,245.7,21.2,9,10,2024-06-22T06:30:16,2024-06-22T20:36:09,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-06-23,94.4,74,84.9,96.8,74,87.1,68.5,61.2,0,0,0,,0,0,13.6,6.3,127.2,1013.7,6.7,9.9,287.3,24.8,9,30,2024-06-23T06:30:31,2024-06-23T20:36:19,0.56,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-06-24,95,77.2,86,103.3,77.2,92.2,74.1,69.8,0,0,0,,0,0,18.3,9.7,134.4,1012.5,32.3,9.8,264.2,22.7,10,60,2024-06-24T06:30:48,2024-06-24T20:36:27,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-06-25,96.5,79.3,86.8,106.5,79.3,93.8,74.6,69.1,0,0,0,,0,0,19.9,9.4,169.8,1011.9,43.1,9.8,252.9,21.9,10,60,2024-06-25T06:31:06,2024-06-25T20:36:34,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-06-26,96.4,78.7,87,106.4,78.7,93.9,74,67.3,0,0,0,rain,0,0,20.8,9.4,175.4,1010.9,36,9.9,254.1,21.9,9,60,2024-06-26T06:31:24,2024-06-26T20:36:40,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-06-27,98.4,78.2,88.3,108.3,78.2,95.5,74,65.3,0,0,0,,0,0,17.2,11.5,175,1009.3,18.5,9.8,261.8,22.8,10,60,2024-06-27T06:31:44,2024-06-27T20:36:45,0.7,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-06-28,98.2,78.9,88.5,107.4,78.9,95.9,73.5,63.3,0,0,0,,0,0,27.7,12.4,172.3,1008,12.8,9.6,284.8,24.7,9,60,2024-06-28T06:32:05,2024-06-28T20:36:48,0.75,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-06-29,98.5,80.6,89,106.1,86.9,97.1,73.8,63.5,0,0,0,rain,0,0,25.9,12.6,164.5,1013,56.7,9.8,259.9,22.5,10,60,2024-06-29T06:32:26,2024-06-29T20:36:49,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-06-30,98.9,78.6,87.6,106.1,78.6,93.3,72.5,63.5,0,0,0,,0,0,23.5,10.1,151,1018.4,51.2,9.8,257.4,22.2,8,60,2024-06-30T06:32:49,2024-06-30T20:36:49,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-07-01,99.2,76.2,88.3,103.7,76.2,91.7,69.9,58.1,0,0,0,,0,0,18.3,9.7,181.6,1016.1,7.7,9.8,276.6,24,9,10,2024-07-01T06:33:12,2024-07-01T20:36:48,0.85,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-07-02,101.1,76.2,88.8,104.3,76.2,91.8,68.2,54.6,0,0,0,,0,0,23.7,10.4,172.6,1012.7,5,9.6,276.3,24,9,10,2024-07-02T06:33:37,2024-07-02T20:36:45,0.88,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-07-03,98.2,77,87.4,104.8,77,91.8,71,61.1,0,0,0,,0,0,26.4,11.2,172.1,1013,16,9.7,284,24.7,9,30,2024-07-03T06:34:02,2024-07-03T20:36:41,0.92,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-07-04,99.5,79.2,88.7,105.5,79.2,93.8,71.7,60.4,0,0,0,,0,0,21.9,11.3,175.8,1012,35.1,9.9,293.9,25.5,9,30,2024-07-04T06:34:28,2024-07-04T20:36:36,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-07-05,99.7,77.5,87.1,102.7,77.5,90.9,70,60.1,0,0,0,,0,0,30.1,12.2,175.4,1012.2,32.8,9.8,281.5,24.4,9,30,2024-07-05T06:34:55,2024-07-05T20:36:29,0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-07-06,97.2,74.6,81.2,104.6,74.6,83.5,69.6,69.9,0.764,100,33.33,rain,0,0,45.9,10.5,7.7,1013.6,34.5,9.3,202.5,17.6,9,30,2024-07-06T06:35:22,2024-07-06T20:36:21,0.02,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-07-07,92.8,74.6,82.2,100.6,74.6,86.1,72.8,75.2,0.001,100,4.17,rain,0,0,21.9,13.4,78.7,1010.6,34.8,9.6,177.9,15.4,7,30,2024-07-07T06:35:50,2024-07-07T20:36:11,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-07-08,92.7,77.8,83.4,96.8,77.8,85.1,69.9,65.9,0,0,0,,0,0,28.5,13.1,6,1008.6,61.1,9.9,198.4,17.2,8,10,2024-07-08T06:36:19,2024-07-08T20:35:59,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-07-09,97.4,73.5,84.6,99.8,73.5,87.1,68.3,61,0,0,0,,0,0,18.6,6.9,38.3,1012.9,23.1,9.8,195,17,9,30,2024-07-09T06:36:49,2024-07-09T20:35:47,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-07-10,97.2,75.4,86.3,98.3,75.4,87.8,67.2,57.5,0,0,0,,0,0,20.1,14.3,137.7,1014.7,26,9.9,248.6,21.5,9,30,2024-07-10T06:37:19,2024-07-10T20:35:32,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-07-11,96.5,72.8,84.7,98.2,72.8,86.5,67.1,58.9,0,0,0,,0,0,19.7,10.9,132.9,1015.3,22.9,9.9,246.3,21.4,9,30,2024-07-11T06:37:50,2024-07-11T20:35:17,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-07-12,88.1,73.5,79.9,93.5,73.5,81.9,70.8,74.4,0.05,100,16.67,rain,0,0,31.1,9.4,155.1,1017.3,28.1,9.7,166.2,14.7,9,30,2024-07-12T06:38:21,2024-07-12T20:34:59,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-07-13,90.1,73.5,80.1,98.7,73.5,83.4,71.8,76.8,0.007,100,16.67,rain,0,0,20.1,7.9,173.4,1020.1,42.1,9.6,106.2,9.2,6,30,2024-07-13T06:38:53,2024-07-13T20:34:41,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-07-14,93.9,76.8,83.3,98.7,76.8,86.9,71.9,70.5,0,0,0,rain,0,0,18.8,9.3,197.1,1019,48.9,9.7,207,17.9,9,60,2024-07-14T06:39:25,2024-07-14T20:34:21,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-07-15,97.8,75.7,86.3,103.8,75.7,89.6,70.6,63.9,0,0,0,,0,0,23.1,10.1,186.7,1015.4,24.5,9.5,278.3,24.1,9,60,2024-07-15T06:39:58,2024-07-15T20:33:59,0.32,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-07-16,99.2,75.1,86.9,104,75.1,90.7,70.1,61.1,0,0,0,,0,0,23,10.4,185.7,1013.3,13.5,9.7,273.3,23.6,9,60,2024-07-16T06:40:31,2024-07-16T20:33:36,0.35,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-07-17,97.2,76.2,87.1,103,76.2,91.3,71,62.1,0,0,0,,0,0,20.8,8.9,179.7,1014,23.3,9.8,229.7,20,9,75,2024-07-17T06:41:05,2024-07-17T20:33:12,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-07-18,96.4,73.8,84.7,102.5,73.8,89,71.3,66.7,0.566,100,16.67,rain,0,0,29.8,9.6,272.2,1015.4,51,9.4,222.7,19.3,9,60,2024-07-18T06:41:39,2024-07-18T20:32:46,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-07-19,95.6,74.7,84.5,98.3,74.7,87.7,70,64.3,0.079,100,16.67,rain,0,0,21.9,7.3,59.4,1015.4,46.1,9.9,237.8,20.6,9,30,2024-07-19T06:42:13,2024-07-19T20:32:19,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-07-20,95.5,75.9,85.2,98.3,75.9,87.4,68.1,59.6,0,0,0,,0,0,19.7,9.2,86.2,1015.4,24.8,9.8,261.1,22.7,10,30,2024-07-20T06:42:47,2024-07-20T20:31:50,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-07-21,95.5,75.9,81.7,100.9,75.9,83.8,72.3,75.9,0.425,100,16.67,rain,0,0,29.8,12.1,38.8,1014.6,42.2,9.2,163,14.3,8,60,2024-07-21T06:43:22,2024-07-21T20:31:20,0.5,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-07-22,87.8,75.6,79.4,96.2,75.6,82.1,74,84.3,0.194,100,20.83,rain,0,0,27.4,6.5,286.8,1014.4,62.5,8.3,166.4,14.3,9,60,2024-07-22T06:43:57,2024-07-22T20:30:48,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-07-23,80.3,73.7,76.7,84.9,73.7,77.1,73.2,89.2,1.144,100,58.33,rain,0,0,21.9,6.2,36.3,1016.2,82.7,9.1,88,7.6,5,30,2024-07-23T06:44:33,2024-07-23T20:30:15,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-07-24,89.5,73.8,80.8,95.1,73.8,83.6,71.8,76,0.003,100,8.33,rain,0,0,20.8,6.8,46.1,1017.9,60.3,9.6,179.5,15.3,9,30,2024-07-24T06:45:08,2024-07-24T20:29:41,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-07-25,89.2,74,79.6,95.6,74,82.1,72.4,79.8,0.011,100,16.67,rain,0,0,19.9,8.9,71,1017.5,49,9.7,210.1,18.1,9,30,2024-07-25T06:45:44,2024-07-25T20:29:05,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-07-26,87.2,73.2,78.5,93.2,73.2,80.5,71.8,80.8,0,0,0,,0,0,17.7,8.4,130.3,1015.2,56.1,9.5,146.9,12.7,7,30,2024-07-26T06:46:20,2024-07-26T20:28:28,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-07-27,84.8,73.5,78.7,90.1,73.5,80.7,71.8,80.1,0.004,100,4.17,rain,0,0,20.8,9.7,138.3,1013.8,65.8,9.5,162.9,14.2,7,30,2024-07-27T06:46:56,2024-07-27T20:27:50,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-07-28,86.9,76.6,80.3,96,76.6,83.6,74,81.7,0.083,100,20.83,rain,0,0,37.8,11.6,154.2,1015,77,9.7,191.6,16.5,7,60,2024-07-28T06:47:32,2024-07-28T20:27:10,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
"Austin, TX USA",2024-07-29,95.3,77.3,85.4,103.9,77.3,90.5,74.3,71.8,0,0,0,rain,0,0,23.9,12.8,164.1,1014.9,57.9,9.5,228.2,19.8,10,60,2024-07-29T06:48:08,2024-07-29T20:26:29,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
